Guotai Junan Securities (Hong Kong) Limited,China International Capital Corporation Hong Kong Securities Limited,1
Guotai Junan Securities (Hong Kong) Limited,CMB International Capital Limited,2
Guotai Junan Securities (Hong Kong) Limited,Huatai Financial Holdings (Hong Kong) Limited,3
Guotai Junan Securities (Hong Kong) Limited,Citigroup Global Markets Asia Limited,1
Guotai Junan Securities (Hong Kong) Limited,Haitong International Securities Company Limited,1
Guotai Junan Securities (Hong Kong) Limited,China Securities (International) Corporate Finance Company Limited,1
CLSA Limited,CMB International Capital Limited,13
CLSA Limited,Ping An Securities (Hong Kong) Company Limited,1
CLSA Limited,SBI China Capital Financial Services Limited,1
CLSA Limited,BOCI Asia Limited,4
CLSA Limited,Sinolink Securities (Hong Kong) Company Limited,1
CLSA Limited,China Securities (International) Corporate Finance Company Limited,6
CLSA Limited,GF Securities (Hong Kong) Brokerage Limited,8
CLSA Limited,Huatai Financial Holdings (Hong Kong) Limited,9
CLSA Limited,China International Capital Corporation Hong Kong Securities Limited,19
CLSA Limited,DBS Asia Capital Limited,2
CLSA Limited,CCB International Capital Limited,7
CLSA Limited,SDICS International Securities (Hong Kong) Limited,2
CLSA Limited,BOCOM International Securities Limited,4
CLSA Limited,CMBC Securities Company Limited,1
CLSA Limited,Guotai Junan Securities (Hong Kong) Limited,6
CLSA Limited,Livermore Holdings Limited,1
CLSA Limited,SPDB International Capital Limited,1
CLSA Limited,The Hongkong and Shanghai Banking Corporation Limited,2
CLSA Limited,Haitong International Securities Company Limited,7
CLSA Limited,Macquarie Capital Limited,2
CLSA Limited,Deutsche Bank AG,6
CLSA Limited,ABCI Capital Limited,6
CLSA Limited,Fosun International Securities Limited,1
CLSA Limited,China Merchants Securities (HK) Co. Limited,4
CLSA Limited,ICBC International Securities Limited,2
CLSA Limited,Daiwa Capital Markets Hong Kong Limited,1
CLSA Limited,Guosen Securities (HK) Capital Company Limited,1
CLSA Limited,Yellow River Securities Limited,1
CLSA Limited,Guoyuan Securities Brokerage (Hong Kong) Limited,1
CLSA Limited,Morgan Stanley Asia Limited,2
CLSA Limited,HGNH International Securities Co. Limited,1
CLSA Limited,Zero2IPO Securities Limited,1
CLSA Limited,Shenwan Hongyuan Securities (H.K.) Limited,1
CLSA Limited,Citigroup Global Markets Asia Limited,1
CLSA Limited,UOB Kay Hian (Hong Kong) Limited,1
CLSA Limited,Goldman Sachs (Asia) L.L.C.,1
CLSA Limited,J.P. Morgan Securities (Asia Pacific) Limited,2
CLSA Limited,BNP Paribas Securities (Asia) Limited,1
CLSA Limited,Corporate Finance Company Limited,1
CLSA Limited,China Everbright Securities (HK) Limited,1
CLSA Limited,Zhongtai International Securities Limited,1
CLSA Limited,China Galaxy International Securities (Hong Kong) Co. Limited,2
CLSA Limited,China Industrial Securities International Capital Limited,1
CMB International Capital Limited,CLSA Limited,13
