company,oc_date,sponsors,others,document_url
"Shenzhen SDMC Technology Co., Ltd.","23/05/2025","","China Securities","https://www1.hkexnews.hk/app/sehk/2025/107394/documents/sehk25052301952.pdf"
"JST Group Corporation Limited","22/05/2025","","CICC; JPMorgan","https://www1.hkexnews.hk/app/sehk/2025/107390/documents/sehk25052201654.pdf"
"Janbon High Tech Co., Ltd.","15/05/2025","","CMB; CMBC Securities; Livermore; China Securities","https://www1.hkexnews.hk/app/sehk/2025/107331/documents/sehk25051500716.pdf"
"Nuobikan Artificial Intelligence Technology (Chengdu) Co., Ltd.","14/05/2025","","CICC","https://www1.hkexnews.hk/app/sehk/2025/107367/documents/sehk25051401052.pdf"
"Eastenova (Chengdu) Biotechnology Co., Ltd.","12/05/2025","","CCB","https://www1.hkexnews.hk/app/sehk/2025/107366/documents/sehk25051201289.pdf"
"OUR United Corporation","12/05/2025","China Securities; SPDB; CMBC Securities","CCB; CMB; DBS","https://www1.hkexnews.hk/app/sehk/2025/107317/documents/sehk25051200876.pdf"
"Hangzhou Tongshifu Cultural and Creative (Group) Co., Ltd.","09/05/2025","","CMB","https://www1.hkexnews.hk/app/sehk/2025/107350/documents/sehk25050901308.pdf"
"Shanghai Fuiou Payment Service Corp., Ltd.","09/05/2025","","CLSA; Shenwan Hongyuan","https://www1.hkexnews.hk/app/sehk/2025/107352/documents/sehk25050901500.pdf"
"Three Squirrels Inc.","09/05/2025","CLSA","CICC; Huatai","https://www1.hkexnews.hk/app/sehk/2025/107311/documents/sehk25050900742.pdf"
"Zhongding Intelligent (Wuxi) Technology Co., Ltd.","09/05/2025","","Guotai Junan","https://www1.hkexnews.hk/app/sehk/2025/107353/documents/sehk25050901580.pdf"
"Cloudchain Group Co., Ltd.","06/05/2025","","China Securities; ABCI; ICBC; Maxa Capital","https://www1.hkexnews.hk/app/sehk/2025/107346/documents/sehk25050602794.pdf"
"CNGR Advanced Material Co., Ltd.","06/05/2025","Morgan Stanley; Huatai","CICC; BNP Paribas; ABCI","https://www1.hkexnews.hk/app/sehk/2025/107306/documents/sehk25050602316.pdf"
"Busy Ming Group Co., Ltd.","02/05/2025","Huatai; Goldman Sachs","Deutsche Bank","https://www1.hkexnews.hk/app/sehk/2025/107321/documents/sehk25050203094.pdf"
"Axbio International Limited","30/04/2025","","CICC; SPDB","https://www1.hkexnews.hk/app/sehk/2025/107327/documents/sehk25043003715.pdf"
"Huoli Group Holdings Limited","30/04/2025","","CMS; CMBC Securities","https://www1.hkexnews.hk/app/sehk/2025/107328/documents/sehk25043004110.pdf"
"Nanjing Perlove Medical Equipment Co., Ltd.","30/04/2025","","Guotai Junan","https://www1.hkexnews.hk/app/sehk/2025/107326/documents/sehk25043003243.pdf"
"Terminus Smart Technology Co., Ltd. (formerly known as Chongqing Terminus Smart Technology Inc., Co., Ltd.","30/04/2025","","CLSA; Haitong; GF Securities","https://www1.hkexnews.hk/app/sehk/2025/107330/documents/sehk25043004430.pdf"
"Keytop Parking Inc.","29/04/2025","","CICC; CMBC Securities","https://www1.hkexnews.hk/app/sehk/2025/107324/documents/sehk25042905247.pdf"
"Boxihe Outdoor Sports Group Co., Ltd.","28/04/2025","","CLSA; CICC","https://www1.hkexnews.hk/app/sehk/2025/107315/documents/sehk25042800396.pdf"
"Guoxia Technology Co., Ltd.","28/04/2025","CEB","Livermore","https://www1.hkexnews.hk/app/sehk/2025/107323/documents/sehk25042804692.pdf"
"JA Solar Technology Co., Ltd.","28/04/2025","","CLSA; CICC","https://www1.hkexnews.hk/app/sehk/2025/107319/documents/sehk25042802651.pdf"
"Nanhua Futures Co., Ltd.","28/04/2025","CLSA","HGNH","https://www1.hkexnews.hk/app/sehk/2025/107301/documents/sehk25042802829.pdf"
