company,oc_date,sponsors,others,document_url
"Wuxi Lead Intelligent Equipment Co., Ltd.","25/02/2025","","CLSA; JPMorgan","https://www1.hkexnews.hk/app/sehk/2025/107139/documents/sehk25022500578.pdf"
"Sigenergy Technology Co., Ltd.","21/02/2025","","CLSA; BNP Paribas","https://www1.hkexnews.hk/app/sehk/2025/107134/documents/sehk25022101034.pdf"
"Manycore Tech Inc.","14/02/2025","","JPMorgan; CCB","https://www1.hkexnews.hk/app/sehk/2025/107129/documents/sehk25021401102.pdf"
"USAS Building System (Shanghai) Co., Ltd.","14/02/2025","","Shenwan Hongyuan","https://www1.hkexnews.hk/app/sehk/2025/107130/documents/sehk25021401440.pdf"
"Vigonvita Life Sciences Co., Ltd.","11/02/2025","CLSA","CICC; ABCI; China Galaxy","https://www1.hkexnews.hk/app/sehk/2025/107116/documents/sehk25021100186.pdf"
"Adaspace Technology Co., Ltd.","10/02/2025","","CCB; Guotai Junan","https://www1.hkexnews.hk/app/sehk/2025/107117/documents/sehk25021001020.pdf"
"QingSong Health Corporation","28/01/2025","","CICC; CMS","https://www1.hkexnews.hk/app/sehk/2025/107120/documents/sehk25012800905.pdf"
"Softcare Limited","27/01/2025","","CICC; CLSA; GF Securities","https://www1.hkexnews.hk/app/sehk/2025/107119/documents/sehk25012701494.pdf"
"Hi-Think Technology International Limited","24/01/2025","","CLSA; Daiwa","https://www1.hkexnews.hk/app/sehk/2025/107115/documents/sehk25012401922.pdf"
"Ningbo Joyson Electronic Corp.","24/01/2025","CICC; UBS","CMB","https://www1.hkexnews.hk/app/sehk/2025/107094/documents/sehk25012401928.pdf"
"Shandong Victorysoft Co., Ltd.","23/01/2025","","GF Securities","https://www1.hkexnews.hk/app/sehk/2025/107111/documents/sehk25012301155.pdf"
"Fujian Lemo IoT Technology Co., Ltd","21/01/2025","","China Securities; Shenwan Hongyuan","https://www1.hkexnews.hk/app/sehk/2025/107109/documents/sehk25012101237.pdf"
"Shanghai Bao Pharmaceuticals Co., Ltd.","21/01/2025","","CLSA; Haitong","https://www1.hkexnews.hk/app/sehk/2025/107103/documents/sehk25012100975.pdf"
"Sichuan Biokin Pharmaceutical Co., Ltd.","21/01/2025","","Goldman Sachs; JPMorgan; CLSA","https://www1.hkexnews.hk/app/sehk/2025/107104/documents/sehk25012101101.pdf"
"Goertek Microelectronics Inc.","20/01/2025","","CICC; China Securities; CMB","https://www1.hkexnews.hk/app/sehk/2025/107099/documents/sehk25012000435.pdf"
"Bama Tea Co., Ltd.","17/01/2025","","Huatai; ABCI; TFI","https://www1.hkexnews.hk/app/sehk/2025/107097/documents/sehk25011701319.pdf"
"Videotimes Technology Holdings Limited","17/01/2025","","Kingsway","https://www1.hkexnews.hk/app/sehk/2025/107096/documents/sehk25011701165.pdf"
"Aux Electric Co., Ltd.","15/01/2025","","CICC; Orient Securities","https://www1.hkexnews.hk/app/sehk/2025/107089/documents/sehk25011500267.pdf"
"Donson Marketing Technology Limited","15/01/2025","","Haitong; BOCI Asia","https://www1.hkexnews.hk/app/sehk/2025/107093/documents/sehk25011501406.pdf"
"Impression Dahongpao Co., Ltd.","15/01/2025","","China Industrial","https://www1.hkexnews.hk/app/sehk/2025/107092/documents/sehk25011501308.pdf"
"Innovation Global Industries Holdings Limited","13/01/2025","","CICC; Huatai","https://www1.hkexnews.hk/app/sehk/2025/107088/documents/sehk25011301047.pdf"
"Coland Ocean Group Limited","12/01/2025","","Yue Xiu Capital","https://www1.hkexnews.hk/app/sehk/2025/107086/documents/sehk25011200158.pdf"
