ticker,company,company_cn,type,date,shares,price_hkd,size_hkdm,sponsors,others,prospectus_url
"2421","KRP DEVELOPMENT HOLDINGS LIMITED","嘉創房地產控股有限公司","Global offering","03/03/2023","","","","Dongxing","","https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0303/2023030300018.pdf"
"442","KTL International Holdings Group Limited","康宏証券投資服務有限公司","Global offering","27/02/2015","28000000","5","140","CCB; China Galaxy","Convoy Investment Services","https://www1.hkexnews.hk/listedco/listconews/sehk/2015/0227/ltn20150227031.pdf"
"1024","Kuaishou Technology","快手科技","Global offering","26/01/2021","365218600","115","42000.139","Morgan Stanley; Bank of America; China Renaissance","ICBC; Haitong; CMB; Bank of China; Futu","https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0126/2021012600013.pdf"
"3768","Kunming Dianchi Water Treatment Co., Ltd.","昆明滇池水務股份有限公司","Global offering","24/03/2017","339430000","4.7","1595.321","Morgan Stanley","CICC; Haitong; Zhongtai; Huatai; GF Securities; CCB; Bank of China; CMB; Guotai Junan; CEB; Sinomax Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2017/0324/ltn20170324023.pdf"
"9998","Kwan Yong Holdings Limited","光榮建築控股有限公司","Global offering","24/12/2019","200000000","0.75","150","SPDB","Easy Securities; Chuenman Securities; GLAM Capital; Great Roc Capital Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2019/1224/2019122400005.pdf"
"3913","KWG Living Group Holdings Limited","合景悠活集團控股有限公司","Global offering","19/10/2020","383384000","8.13","3116.9119200000005","ABCI; Huatai","CICC; Credit Suisse; Morgan Stanley; Bank of China; CGS-CIMB Securities; CITIC; CRIC Securities; HeungKong","https://www1.hkexnews.hk/listedco/listconews/sehk/2020/1019/2020101900037.pdf"
"1413","Kwong Luen Engineering Holdings Limited","廣聯工程控股有限公司","Global offering","26/02/2021","250000000","0.54","135","Grande Capital","Space Securities; CMB; Innovax; Guosen; SPDB; Freeman Securities; Realord Asia Pacific Securities; Victory Securities; DL SECURITIES; GLAM Capital; Plutus Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0226/2021022600013.pdf"
"1925","Kwung's Holdings Limited","曠世控股有限公司","Global offering","30/12/2019","100000000","1.6","160","China Industrial Securities","BOCOM; Blackwell Global Securities; Yicko Securities; Lee Go Securities; Sinomax Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2019/1230/2019123000158.pdf"
"2105","Laekna, Inc.","來凱醫藥有限公司","Global offering","16/06/2023","63728000","12.41","790.86448","CICC","Haitong; ICBC; Guotai Junan; ABCI; Futu; Valuable Capital","https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0616/2023061600013.pdf"
"2266","Lai Si Enterprise Holding Limited","黎氏企業控股有限公司","Global offering","27/01/2017","100000000","1.15","114.99999999999999","Messis Capital","Celestial Securities; Hooray Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2017/0127/ltn20170127023.pdf"
"2132","Landrich Holding Limited","譽燊豐控股有限公司","Global offering","30/09/2020","400000000","0.34","136","Frontpage Capital","Seazen Resources Securities; DL Securities; Solomon Asset Management; Yuzhou Financial Holdings","https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0930/2020093000019.pdf"
